Data;VIX;POL;F2S;Dutch TTF;OIL;OIS1;OIS10;B GER 1;B GER 10;B It 1;B IT 10;B Sp 1;B Sp 10;B FR 1;B FR 10;B HUN 1;B HUN 10
07/02/18;27.73;58.29;0.137754285714286;18.155;65.51;-0.4271;0.847;-0.611;0.747;-0.398;2.085;-0.432;1.49;-0.569;0.961;0.115;2.701
08/02/18;33.46;89.29;0.144622857142857;17.740;64.81;-0.429;0.854;-0.608;0.765;-0.387;2.126;-0.43;1.525;-0.565;0.973;0.117;2.712
09/02/18;29.06;82.68;0.162905714285714;17.900;62.79;-0.431;0.863;-0.641;0.745;-0.387;2.18;-0.417;1.555;-0.565;0.961;0.119;2.609
10/02/18;#N/D;138.06;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
11/02/18;#N/D;145.19;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
12/02/18;25.61;80.89;0.163577142857143;17.950;62.59;-0.4318;0.886;-0.643;0.761;-0.387;2.175;-0.409;1.562;-0.563;0.974;0.168;2.643
13/02/18;24.97;104.55;0.15957;18.305;62.72;-0.4324;0.875;-0.634;0.754;-0.393;2.222;-0.408;1.608;-0.563;0.975;0.16;2.613
14/02/18;19.26;107.01;0.15271;18.075;64.36;-0.427;0.884;-0.62;0.761;-0.398;2.203;-0.417;1.598;-0.565;0.975;0.145;2.602
15/02/18;19.13;88.63;0.152772857142857;17.790;64.33;-0.429;0.896;-0.614;0.768;-0.397;2.202;-0.426;1.588;-0.564;0.986;0.155;2.612
16/02/18;19.46;80.52;0.164638571428571;18.165;64.84;-0.4288;0.844;-0.621;0.711;-0.393;2.123;-0.428;1.541;-0.565;0.932;0.138;2.641
17/02/18;#N/D;63.93;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
18/02/18;#N/D;103.24;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
19/02/18;#N/D;53.44;0.162264285714286;#N/D;65.67;-0.429;0.871;-0.617;0.742;-0.388;2.183;-0.42;1.587;-0.558;0.974;0.14;2.703
20/02/18;20.6;80.15;0.169958571428571;19.770;65.25;-0.429;0.873;-0.675;0.742;-0.386;2.21;-0.413;1.614;-0.562;0.983;0.144;2.687
21/02/18;20.02;95.81;0.169251428571429;19.780;65.42;-0.4283;0.854;-0.666;0.729;-0.381;2.189;-0.403;1.596;-0.565;0.97;0.198;2.654
22/02/18;18.72;50.25;0.178475714285714;19.940;66.39;-0.427;0.848;-0.671;0.713;-0.378;2.214;-0.405;1.601;-0.561;0.961;0.196;2.652
23/02/18;16.49;55.72;0.187278571428571;20.410;67.31;-0.429;0.803;-0.68;0.66;-0.374;2.204;-0.41;1.592;-0.557;0.913;0.204;2.599
24/02/18;#N/D;42.18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
25/02/18;#N/D;126.87;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
26/02/18;15.8;68.60;0.186804285714286;18.690;67.50;-0.4282;0.807;-0.675;0.662;-0.383;2.158;-0.406;1.555;-0.568;0.917;0.206;2.632
27/02/18;18.59;52.64;0.168961428571429;19.195;66.63;-0.43;0.814;-0.67;0.688;-0.379;2.146;-0.403;1.564;-0.566;0.932;0.212;2.682
